"commune"|"libelle_commune"|"departement_insee_3"
"$"|"NON RENSEIGNE"|"$"
"-"|"SANS OBJET"|"-"
"01001"|"L'ABERGEMENT-CLEMENCIAT"|"001"
"01002"|"L'ABERGEMENT-DE-VAREY"|"001"
"01003"|"AMAREINS"|"001"
"01004"|"AMBERIEU-EN-BUGEY"|"001"
"01005"|"AMBERIEUX-EN-DOMBES"|"001"
"01006"|"AMBLEON"|"001"
"01007"|"AMBRONAY"|"001"
"01008"|"AMBUTRIX"|"001"
"01009"|"ANDERT-ET-CONDON"|"001"
"01010"|"ANGLEFORT"|"001"
"01011"|"APREMONT"|"001"
"01012"|"ARANC"|"001"
"01013"|"ARANDAS"|"001"
"01014"|"ARBENT"|"001"
"01015"|"ARBOYS EN BUGEY"|"001"
"01016"|"ARBIGNY"|"001"
"01017"|"ARGIS"|"001"
"01018"|"ARLOD"|"001"
"01019"|"ARMIX"|"001"
"01020"|"ARNANS"|"001"
"01021"|"ARS-SUR-FORMANS"|"001"
"01022"|"ARTEMARE"|"001"
"01023"|"ASNIERES-SUR-SAONE"|"001"
"01024"|"ATTIGNAT"|"001"
"01025"|"BAGE-LA-VILLE"|"001"
"01026"|"BAGE-LE-CHATEL"|"001"
"01027"|"BALAN"|"001"
"01028"|"BANEINS"|"001"
"01029"|"BEAUPONT"|"001"
"01030"|"BEAUREGARD"|"001"
"01031"|"BELLIGNAT"|"001"
"01032"|"BELIGNEUX"|"001"
"01033"|"BELLEGARDE-SUR-VALSERINE"|"001"
"01034"|"BELLEY"|"001"
"01035"|"BELLEYDOUX"|"001"
"01036"|"BELMONT-LUTHEZIEU"|"001"
"01037"|"BENONCES"|"001"
"01038"|"BENY"|"001"
"01039"|"BEON"|"001"
"01040"|"BEREZIAT"|"001"
"01041"|"BETTANT"|"001"
"01042"|"BEY"|"001"
"01043"|"BEYNOST"|"001"
"01044"|"BILLIAT"|"001"
"01045"|"BIRIEUX"|"001"
"01046"|"BIZIAT"|"001"
"01047"|"BLYES"|"001"
"01048"|"BOHAS"|"001"
"01049"|"LA BOISSE"|"001"
"01050"|"BOISSEY"|"001"
"01051"|"BOLOZON"|"001"
"01052"|"BOULIGNEUX"|"001"
"01053"|"BOURG-EN-BRESSE"|"001"
"01054"|"BOURG-SAINT-CHRISTOPHE"|"001"
"01055"|"BOUVENT"|"001"
